Source,Target,Type,Id,Label,Weight
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,32,,12
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,Undirected,30,,16
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,64,,99
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,63,,5
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,60,,5
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,58,,110
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,57,,25
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,56,,5
Aerys-II-Targaryen,Jon-Arryn,Undirected,98,,3
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,90,,3
Aerys-II-Targaryen,Barristan-Selmy,Undirected,88,,4
Arianne-Martell,Myrcella-Baratheon,Undirected,259,,16
Arianne-Martell,Doran-Martell,Undirected,252,,26
Arianne-Martell,Balon-Swann,Undirected,250,,5
Arya-Stark,Yoren,Undirected,373,,32
Arya-Stark,Tommen-Baratheon,Undirected,363,,5
Arya-Stark,Theon-Greyjoy,Undirected,358,,7
Arya-Stark,Sansa-Stark,Undirected,354,,155
Arya-Stark,Sandor-Clegane,Undirected,353,,58
Arya-Stark,Roose-Bolton,Undirected,351,,21
Arya-Stark,Rodrik-Cassel,Undirected,350,,3
Arya-Stark,Ramsay-Snow,Undirected,345,,5
Arya-Stark,Petyr-Baelish,Undirected,341,,3
Arya-Stark,Myrcella-Baratheon,Undirected,338,,13
Arya-Stark,Melisandre,Undirected,333,,4
Arya-Stark,Lem,Undirected,329,,24
Arya-Stark,Jory-Cassel,Undirected,326,,12
Arya-Stark,Gregor-Clegane,Undirected,315,,10
Arya-Stark,Gendry,Undirected,313,,82
Arya-Stark,Bran-Stark,Undirected,299,,40
Arya-Stark,Benjen-Stark,Undirected,296,,3
Asha-Greyjoy,Victarion-Greyjoy,Undirected,402,,10
Asha-Greyjoy,Balon-Greyjoy,Undirected,382,,15
Balon-Greyjoy,Victarion-Greyjoy,Undirected,446,,17
Balon-Swann,Doran-Martell,Undirected,448,,11
Barristan-Selmy,Sansa-Stark,Undirected,501,,3
Barristan-Selmy,Sandor-Clegane,Undirected,500,,3
Barristan-Selmy,Renly-Baratheon,Undirected,496,,13
Barristan-Selmy,Quentyn-Martell,Undirected,495,,22
Barristan-Selmy,Pycelle,Undirected,494,,8
Barristan-Selmy,Petyr-Baelish,Undirected,493,,7
Barristan-Selmy,Jorah-Mormont,Undirected,488,,5
Barristan-Selmy,Jon-Arryn,Undirected,487,,4
Barristan-Selmy,Hizdahr-zo-Loraq,Undirected,483,,42
Barristan-Selmy,Daario-Naharis,Undirected,474,,18
Bran-Stark,Yoren,Undirected,678,,3
Bran-Stark,Tommen-Baratheon,Undirected,673,,8
Bran-Stark,Sansa-Stark,Undirected,669,,25
Bran-Stark,Rodrik-Cassel,Undirected,667,,40
