Source,Target,weight
Jaime-Lannister,Catelyn-Stark,46
Jaime-Lannister,Tyrion-Lannister,76
Jaime-Lannister,Arya-Stark,29
Jaime-Lannister,Daenerys-Targaryen,8
Jaime-Lannister,Gerold-Hightower,4
Jaime-Lannister,Jon-Snow,4
Jaime-Lannister,Stannis-Baratheon,39
Tyrion-Lannister,Catelyn-Stark,113
Tyrion-Lannister,Arya-Stark,105
Tyrion-Lannister,Doran-Martell,22
Tyrion-Lannister,Daenerys-Targaryen,68
Tyrion-Lannister,Jon-Snow,33
Tyrion-Lannister,Stannis-Baratheon,65
Tyrion-Lannister,Horas-Redwyne,3
Tyrion-Lannister,Victarion-Greyjoy,11
Tyrion-Lannister,Gerold-Hightower,7
Tyrion-Lannister,Nyessos-Vhassar,3
Tyrion-Lannister,Florian-the-Fool,3
Jon-Snow,Catelyn-Stark,39
Jon-Snow,Stannis-Baratheon,51
Jon-Snow,Alleras,7
Jon-Snow,Daenerys-Targaryen,4
Jon-Snow,Arya-Stark,14
Jon-Snow,Gared,5
Daenerys-Targaryen,Arya-Stark,7
Daenerys-Targaryen,Catelyn-Stark,3
Daenerys-Targaryen,Stannis-Baratheon,5
Daenerys-Targaryen,Doran-Martell,6
Daenerys-Targaryen,Victarion-Greyjoy,4
Daenerys-Targaryen,Gerold-Hightower,5
Arya-Stark,Catelyn-Stark,27
Arya-Stark,Doran-Martell,12
Arya-Stark,Stannis-Baratheon,10
Catelyn-Stark,Victarion-Greyjoy,17
Catelyn-Stark,Stannis-Baratheon,90
Stannis-Baratheon,Victarion-Greyjoy,8
