Source,Target,weight
Jaime-Lannister,Catelyn-Stark,428
Jaime-Lannister,Tyrion-Lannister,1039
Jaime-Lannister,Arya-Stark,207
Jaime-Lannister,Daenerys-Targaryen,8
Jaime-Lannister,Gerold-Hightower,4
Jaime-Lannister,Jon-Snow,12
Jaime-Lannister,Stannis-Baratheon,110
Tyrion-Lannister,Catelyn-Stark,1229
Tyrion-Lannister,Arya-Stark,1377
Tyrion-Lannister,Doran-Martell,142
Tyrion-Lannister,Daenerys-Targaryen,477
Tyrion-Lannister,Jon-Snow,377
Tyrion-Lannister,Stannis-Baratheon,742
Tyrion-Lannister,Horas-Redwyne,3
Tyrion-Lannister,Victarion-Greyjoy,30
Tyrion-Lannister,Gerold-Hightower,18
Tyrion-Lannister,Nyessos-Vhassar,3
Tyrion-Lannister,Florian-the-Fool,3
Jon-Snow,Catelyn-Stark,345
Jon-Snow,Stannis-Baratheon,419
Jon-Snow,Alleras,21
Jon-Snow,Daenerys-Targaryen,6
Jon-Snow,Arya-Stark,105
Jon-Snow,Gared,7
Daenerys-Targaryen,Arya-Stark,17
Daenerys-Targaryen,Catelyn-Stark,3
Daenerys-Targaryen,Stannis-Baratheon,17
Daenerys-Targaryen,Doran-Martell,18
Daenerys-Targaryen,Victarion-Greyjoy,10
Daenerys-Targaryen,Gerold-Hightower,5
Arya-Stark,Catelyn-Stark,230
Arya-Stark,Doran-Martell,50
Arya-Stark,Stannis-Baratheon,23
Catelyn-Stark,Victarion-Greyjoy,147
Catelyn-Stark,Stannis-Baratheon,287
Stannis-Baratheon,Victarion-Greyjoy,8
