Id,Status
Addam-Marbrand,Infected
Brynden-Tully,Infected
Cersei-Lannister,Infected
Gyles-Rosby,Infected
Jaime-Lannister,Infected
Jalabhar-Xho,Recovered
Joffrey-Baratheon,Infected
Kevan-Lannister,Infected
Lyle-Crakehall,Suceptible
Oberyn-Martell,Infected
Tyrion-Lannister,Recovered
Tywin-Lannister,Infected
Varys,Suceptible
Aegon-Frey-(son-of-Stevron),Suceptible
Catelyn-Stark,Infected
Robb-Stark,Infected
Stevron-Frey,Infected
Walder-Frey,Suceptible
Aegon-I-Targaryen,Suceptible
Daenerys-Targaryen,Infected
Eddard-Stark,Infected
Harren-Hoare,Suceptible
Nan,Suceptible
Rhaenys-Targaryen,Suceptible
Stannis-Baratheon,Infected
Torrhen-Stark,Recovered
Visenya-Targaryen,Suceptible
Aegon-Targaryen-(son-of-Rhaegar),Infected
Elia-Martell,Infected
Franklyn-Flowers,Suceptible
Haldon,Suceptible
Harry-Strickland,Suceptible
Jon-Connington,Suceptible
Lemore,Suceptible
Rhaegar-Targaryen,Infected
Rhaenys-Targaryen-(daughter-of-Rhaegar),Suceptible
Rolly-Duckfield,Suceptible
Viserys-Targaryen,Infected
Yandry,Suceptible
Ysilla,Suceptible
Aegon-V-Targaryen,Suceptible
Aemon-Targaryen-(Maester-Aemon),Suceptible
Aemon-Targaryen-(Dragonknight),Infected
Alleras,Suceptible
Alliser-Thorne,Recovered
Bowen-Marsh,Suceptible
Chett,Suceptible
Clydas,Suceptible
Cotter-Pyke,Suceptible
Daeron-II-Targaryen,Suceptible
Dareon,Suceptible
Denys-Mallister,Suceptible
Donal-Noye,Recovered
Eddison-Tollett,Suceptible
Gilly,Suceptible
Grenn,Suceptible
Hobb,Suceptible
Janos-Slynt,Infected
Jeor-Mormont,Suceptible
Jon-Snow,Recovered
Maekar-I-Targaryen,Suceptible
Mance-Rayder,Infected
Owen,Suceptible
Pypar,Suceptible
Robert-Baratheon,Infected
Samwell-Tarly,Suceptible
Wynton-Stout,Suceptible
Aenys-Frey,Suceptible
Arya-Stark,Recovered
Hosteen-Frey,Suceptible
Theon-Greyjoy,Infected
Wyman-Manderly,Suceptible
Aeron-Greyjoy,Suceptible
Asha-Greyjoy,Suceptible
Baelor-Blacktyde,Suceptible
Balon-Greyjoy,Dead
Dagmer,Suceptible
Dunstan-Drumm,Suceptible
Emmond,Suceptible
Euron-Greyjoy,Infected
Gormond-Goodbrother,Suceptible
Gorold-Goodbrother,Suceptible
Greydon-Goodbrother,Suceptible
Meldred-Merlyn,Suceptible
Murenmure,Suceptible
Rus,Suceptible
Victarion-Greyjoy,Infected
Aerys-I-Targaryen,Suceptible
Aerys-II-Targaryen,Recovered
Arthur-Dayne,Infected
Barristan-Selmy,Infected
Brandon-Stark,Infected
Brienne-of-Tarth,Infected
Denys-Darklyn,Suceptible
Elbert-Arryn,Suceptible
Gerold-Hightower,Suceptible
Jon-Arryn,Recovered
Owen-Merryweather,Dead
Rossart,Suceptible
Aggar,Suceptible
Gariss,Suceptible
Gelmarr,Suceptible
Gynir,Suceptible
Ramsay-Snow,Infected
Aggo,Suceptible
Belwas,Suceptible
Daario-Naharis,Suceptible
Drogo,Infected
Grey-Worm,Suceptible
Jhogo,Suceptible
Jorah-Mormont,Infected
Quaro,Infected
Rakharo,Suceptible
Alayaya,Suceptible
Bronn,Suceptible
Dancy,Suceptible
Albett,Suceptible
Halder,Recovered
Rast,Suceptible
Alebelly,Suceptible
Bran-Stark,Infected
Hayhead,Suceptible
Jojen-Reed,Suceptible
Mikken,Infected
Alerie-Hightower,Infected
Mace-Tyrell,Recovered
Margaery-Tyrell,Infected
Alester-Florent,Infected
Axell-Florent,Suceptible
Cortnay-Penrose,Suceptible
Davos-Seaworth,Infected
Lamprey,Suceptible
Renly-Baratheon,Infected
Selyse-Florent,Suceptible
Alla-Tyrell,Infected
Elinor-Tyrell,Suceptible
Megga-Tyrell,Suceptible
Osney-Kettleblack,Suceptible
Sansa-Stark,Infected
Allar-Deem,Suceptible
Allard-Seaworth,Infected
Marya-Seaworth,Suceptible
Armen,Suceptible
Leo-Tyrell,Suceptible
Marwyn,Suceptible
Mollander,Suceptible
Pate-(novice),Suceptible
Roone,Suceptible
Qhorin-Halfhand,Suceptible
Alyn,Suceptible
Harwin,Suceptible
Jory-Cassel,Suceptible
Tomard,Suceptible
Alys-Arryn,Suceptible
Elys-Waynwood,Suceptible
Alys-Karstark,Infected
Melisandre,Infected
Sigorn,Suceptible
Alysane-Mormont,Suceptible
Justin-Massey,Suceptible
Amabel,Suceptible
Harra,Infected
Amerei-Frey,Suceptible
Lancel-Lannister,Infected
Amory-Lorch,Dead
Chiswyck,Infected
Dunsen,Infected
Gendry,Infected
Gregor-Clegane,Infected
Hot-Pie,Infected
Ilyn-Payne,Infected
Meryn-Trant,Recovered
Polliver,Recovered
Rafford,Infected
Roose-Bolton,Infected
Sandor-Clegane,Infected
Tickler,Infected
Vargo-Hoat,Suceptible
Yoren,Suceptible
Anders-Yronwood,Suceptible
Quentyn-Martell,Recovered
Andrew-Estermont,Suceptible
Edric-Storm,Infected
Gerald-Gower,Suceptible
Andrey-Dalt,Suceptible
Arianne-Martell,Dead
Garin-(orphan),Suceptible
Myrcella-Baratheon,Infected
Sylva-Santagar,Suceptible
Tyene-Sand,Suceptible
Anguy,Dead
Beric-Dondarrion,Infected
Greenbeard,Infected
Husband,Infected
Lem,Suceptible
Sharna,Suceptible
Tom-of-Sevenstreams,Suceptible
Anya-Waynwood,Suceptible
Benedar-Belmore,Suceptible
Gilwood-Hunter,Suceptible
Harrold-Hardyng,Suceptible
Horton-Redfort,Suceptible
Petyr-Baelish,Dead
Symond-Templeton,Suceptible
Yohn-Royce,Suceptible
Archibald-Yronwood,Suceptible
Cletus-Yronwood,Suceptible
Gerris-Drinkwater,Suceptible
Tattered-Prince,Suceptible
Ardrian-Celtigar,Suceptible
Monford-Velaryon,Suceptible
Areo-Hotah,Infected
Arys-Oakheart,Suceptible
Balon-Swann,Infected
Caleotte,Recovered
Doran-Martell,Infected
Ellaria-Sand,Suceptible
Obara-Sand,Recovered
Cedra,Suceptible
Franklyn-Fowler,Suceptible
Gerold-Dayne,Suceptible
Mellei,Infected
Morra,Suceptible
Ricasso,Suceptible
Timoth,Suceptible
Arnolf-Karstark,Suceptible
Arthor-Karstark,Suceptible
Mors-Umber,Suceptible
Rickard-Karstark,Dead
Aron-Santagar,Suceptible
Arron,Suceptible
Emrick,Suceptible
Hareth-(Moles-Town),Suceptible
Satin,Suceptible
Arson,Suceptible
Arstan,Suceptible
Illyrio-Mopatis,Suceptible
Jhiqui,Suceptible
Kraznys-mo-Nakloz,Suceptible
Mero,Suceptible
Lewyn-Martell,Suceptible
Smiling-Knight,Suceptible
Arwyn-Oakheart,Suceptible
Randyll-Tarly,Suceptible
Bellegere-Otherys,Suceptible
Benjen-Stark,Infected
Biter,Suceptible
Brea,Suceptible
Brusco,Suceptible
Denyo-Terys,Suceptible
Desmond,Suceptible
Dobber,Suceptible
Elmar-Frey,Infected
Jaqen-Hghar,Suceptible
Jeyne-Poole,Dead
Kindly-Man,Suceptible
Koss,Infected
Lommy-Greenhands,Infected
Mad-Huntsman,Suceptible
Meralyn,Suceptible
Mordane,Recovered
Mycah,Suceptible
Pate-(Old),Infected
Praed,Suceptible
Ravella-Swann,Suceptible
Rickon-Stark,Infected
Rodrik-Cassel,Infected
Rorge,Suceptible
Syrio-Forel,Suceptible
Talea,Suceptible
Ternesio-Terys,Suceptible
Thoros-of-Myr,Suceptible
Tommen-Baratheon,Infected
Umma,Suceptible
Vayon-Poole,Suceptible
Waif,Suceptible
Weasel,Suceptible
Weese,Suceptible
Woth,Suceptible
Yorko-Terys,Suceptible
Clayton-Suggs,Suceptible
Galbart-Glover,Infected
Godry-Farring,Suceptible
Grimtongue,Suceptible
Hagen,Suceptible
Qarl-the-Maid,Suceptible
Red-Oarsman,Suceptible
Rodrik-Harlaw,Infected
Rolfe-the-Dwarf,Suceptible
Sybelle-Glover,Suceptible
Torgon-Greyiron,Suceptible
Tristifer-Botley,Suceptible
Tycho-Nestoris,Suceptible
Wex-Pyke,Suceptible
Ashara-Dayne,Suceptible
Aurane-Waters,Infected
Harys-Swyft,Suceptible
Loras-Tyrell,Dead
Orton-Merryweather,Infected
Paxter-Redwyne,Suceptible
Porridge,Infected
Salladhor-Saan,Suceptible
Shireen-Baratheon,Infected
Azor-Ahai,Suceptible
Bael-the-Bard,Suceptible
Ygritte,Suceptible
Baelor-I-Targaryen,Infected
Ballabar,Suceptible
Frenken,Suceptible
Podrick-Payne,Suceptible
Balman-Byrch,Suceptible
Falyse-Stokeworth,Suceptible
Boros-Blount,Infected
Mandon-Moore,Suceptible
Osmund-Kettleblack,Dead
Bannen,Suceptible
Dywen,Suceptible
Barbrey-Dustin,Infected
Roger-Ryswell,Suceptible
Ben-Plumm,Suceptible
Bloodbeard,Infected
Galazza-Galare,Suceptible
Grazhar,Suceptible
Groleo,Suceptible
Hizdahr-zo-Loraq,Suceptible
Khrazz,Suceptible
Larraq,Dead
Missandei,Infected
Pycelle,Recovered
Reznak-mo-Reznak,Suceptible
Skahaz-mo-Kandaq,Suceptible
Steelskin,Suceptible
Widower,Suceptible
Xaro-Xhoan-Daxos,Suceptible
Barsena,Suceptible
Bartimus,Suceptible
Bedwyck,Suceptible
Craster,Suceptible
Belaquo,Suceptible
Goghor-the-Giant,Suceptible
Irri,Suceptible
Spotted-Cat,Suceptible
Oznak-zo-Pahl,Suceptible
Ben-Bones,Suceptible
Kasporio,Suceptible
Penny,Infected
Tybero-Istarion,Suceptible
Benerro,Suceptible
Moqorro,Suceptible
Benethon-Scales,Suceptible
Narbert-Grandison,Suceptible
Benfred-Tallhart,Suceptible
Helman-Tallhart,Recovered
Leobald-Tallhart,Suceptible
Stygg,Suceptible
Jaremy-Rykker,Suceptible
Luwin,Recovered
Waymar-Royce,Suceptible
Jack-Bulwer,Infected
Mariya-Darry,Infected
Beth-Cassel,Suceptible
Big-Boil,Suceptible
Black-Balaq,Suceptible
Blane,Suceptible
Blue-Bard,Suceptible
Lambert-Turnberry,Suceptible
Qyburn,Infected
Tallad,Suceptible
Bonifer-Hasty,Suceptible
Tanda-Stokeworth,Infected
Cellador,Suceptible
Othell-Yarwyck,Suceptible
Tormund,Suceptible
Wick-Whittlestick,Suceptible
Brynden-Rivers,Suceptible
Chayle,Suceptible
Cley-Cerwyn,Suceptible
Coldhands,Suceptible
Donella-Hornwood,Suceptible
Hali,Suceptible
Hallis-Mollen,Suceptible
Hodor,Infected
Howland-Reed,Suceptible
Hullen,Suceptible
Jon-Umber-(Greatjon),Suceptible
Joseth,Suceptible
Leaf,Suceptible
Meera-Reed,Infected
Osha,Infected
Poxy-Tym,Infected
Reek,Suceptible
Rickard-Stark,Suceptible
Stafford-Lannister,Infected
Stiv,Infected
Walder-Frey-(son-of-Jammos),Suceptible
Walder-Frey-(son-of-Merrett),Suceptible
Brandon-Norrey,Suceptible
Torghen-Flint,Suceptible
Lyanna-Stark,Recovered
Brella,Suceptible
Shae,Dead
Brenett,Suceptible
Clarence-Crabb,Suceptible
Cleos-Frey,Infected
Creighton-Longbough,Suceptible
Dick-Crabb,Suceptible
Dontos-Hollard,Suceptible
Edmure-Tully,Infected
Elder-Brother,Suceptible
Emmon-Cuy,Recovered
Hyle-Hunt,Suceptible
Illifer,Suceptible
Jeyne-Heddle,Suceptible
Lysa-Arryn,Suceptible
Meribald,Suceptible
Narbert,Suceptible
Pyg,Suceptible
Robar-Royce,Suceptible
Selwyn-Tarth,Suceptible
Shagwell,Suceptible
Timeon,Recovered
Vyman,Infected
Walton,Recovered
Willow-Heddle,Suceptible
Chiggen,Suceptible
Jacelyn-Bywater,Infected
Lollys-Stokeworth,Infected
Marillion,Infected
Shagga,Suceptible
Timett,Suceptible
Vardis-Egen,Suceptible
Willis-Wode,Infected
Brus-Buckler,Suceptible
Malegorn,Suceptible
Bryce-Caron,Suceptible
Eldon-Estermont,Suceptible
Guyard-Morrigen,Suceptible
Daven-Lannister,Suceptible
Edwyn-Frey,Suceptible
Emmon-Frey,Infected
Hoster-Tully,Infected
Nestor-Royce,Suceptible
Ryman-Frey,Infected
Bump,Suceptible
Varamyr,Suceptible
Butterbumps,Suceptible
Olenna-Redwyne,Suceptible
Byam-Flint,Suceptible
Caggo,Suceptible
Lucifer-Long,Suceptible
Meris,Recovered
Camarron,Suceptible
Captain-Myraham,Suceptible
Captain-Myraham-Daughter,Suceptible
Colemon,Infected
Colen-of-Greenpools,Suceptible
Dacey-Mormont,Infected
Desmond-Grell,Suceptible
Donnel-Waynwood,Suceptible
Eon-Hunter,Suceptible
Jason-Mallister,Suceptible
Jeyne-Westerling,Suceptible
Lothar-Frey,Infected
Maege-Mormont,Suceptible
Marq-Piper,Infected
Masha-Heddle,Suceptible
Mathis-Rowan,Infected
Moreo-Tumitis,Suceptible
Mya-Stone,Suceptible
Mychel-Redfort,Suceptible
Raynald-Westerling,Suceptible
Robert-Arryn,Infected
Robin-Ryger,Suceptible
Roslin-Frey,Suceptible
Tansy,Suceptible
Tytos-Blackwood,Infected
Utherydes-Wayn,Suceptible
Wendel-Manderly,Suceptible
Cayn,Suceptible
Cedric-Payne,Suceptible
Dorcas,Suceptible
Garlan-Tyrell,Suceptible
Garth-Tyrell,Suceptible
High-Septon-(Tyrions),Infected
High-Sparrow,Recovered
Jocelyn-Swyft,Suceptible
Maegor-I-Targaryen,Suceptible
Maggy,Suceptible
Mark-Mullendore,Suceptible
Melara-Hetherspoon,Suceptible
Moelle,Suceptible
Moon-Boy,Suceptible
Osfryd-Kettleblack,Suceptible
Preston-Greenfield,Suceptible
Raynard,Suceptible
Robert-Strong,Suceptible
Scolera,Suceptible
Senelle,Suceptible
Taena-of-Myr,Suceptible
Unella,Suceptible
Vylarr,Suceptible
Willas-Tyrell,Suceptible
Chataya,Suceptible
Chella,Suceptible
Lark,Suceptible
Small-Paul,Suceptible
Clement-Piper,Suceptible
Karyl-Vance,Suceptible
Cleon,Suceptible
Ghael,Suceptible
Kedry,Suceptible
Clubfoot-Karl,Suceptible
Mully,Infected
Cohollo,Suceptible
Haggo,Suceptible
Qotho,Infected
Gretchel,Suceptible
Maddy,Suceptible
Conn,Suceptible
Coratt,Suceptible
Corliss-Penny,Suceptible
Dirk,Suceptible
Thoren-Smallwood,Suceptible
Shadrich,Suceptible
Cressen,Suceptible
Patchface,Suceptible
Pylos,Suceptible
Cromm,Suceptible
Cutjack,Suceptible
Kurz,Suceptible
Tarber,Suceptible
Hero,Suceptible
Prendahl-na-Ghezn,Suceptible
Sallor,Suceptible
Daemon-Sand,Suceptible
Doreah,Suceptible
Eroeh,Suceptible
Ezzara,Suceptible
Lynesse-Hightower,Suceptible
Lysono-Maar,Suceptible
Marselen,Suceptible
Mezzara,Suceptible
Miklaz,Suceptible
Mirri-Maz-Duur,Suceptible
Pono,Suceptible
Pyat-Pree,Suceptible
Qavo-Nogarys,Suceptible
Qezza,Suceptible
Quaithe,Suceptible
Rhaegel-Targaryen,Suceptible
Symon-Stripeback,Suceptible
Yurkhaz-zo-Yunzak,Suceptible
Daeron-I-Targaryen,Suceptible
Dalbridge,Suceptible
Ebben,Suceptible
Dalla,Suceptible
Val,Infected
Damon-Dance-for-Me,Infected
Grunt,Suceptible
Skinner,Dead
Sour-Alyn,Infected
Danwell-Frey,Suceptible
Jared-Frey,Suceptible
Lanna-(Happy-Port),Suceptible
Daryn-Hornwood,Suceptible
Torrhen-Karstark,Infected
Devan-Seaworth,Infected
Garth-(Wolfs-Den),Suceptible
Godric-Borrell,Suceptible
Guncer-Sunglass,Suceptible
Imry-Florent,Suceptible
Khorane-Sathmantes,Infected
Leona-Woolfield,Suceptible
Marlon-Manderly,Suceptible
Matthos-Seaworth,Suceptible
Robett-Glover,Infected
Sybell-Spicer,Suceptible
Denzo-Dhan,Suceptible
Eustace-Brune,Suceptible
Dick-Follard,Suceptible
Dick-Straw,Suceptible
Hugh-Hungerford,Suceptible
Dolf,Suceptible
Mag-Mar-Tun-Doh-Weg,Suceptible
Lothor-Brune,Suceptible
Nymeria-Sand,Suceptible
Draqaz,Suceptible
Drennan,Suceptible
Squint,Infected
Jommo,Suceptible
Ogo,Suceptible
Rhaego,Suceptible
Dryn,Suceptible
Stonesnake,Suceptible
High-Septon-(fat_one),Suceptible
Jacks,Suceptible
Joss,Dead
Maron-Greyjoy,Suceptible
Porther,Suceptible
Raymun-Darry,Suceptible
Tobho-Mott,Suceptible
Tregar,Suceptible
Varly,Infected
Willam-Dustin,Infected
Wyl-(guard),Suceptible
Wylla,Suceptible
Emmett,Suceptible
Watt,Suceptible
Forley-Prester,Suceptible
Walder-Rivers,Infected
Steffon-Varner,Suceptible
Hop-Robin,Suceptible
Genna-Lannister,Infected
Errok,Suceptible
Grigg,Suceptible
Styr,Suceptible
Hotho-Harlaw,Suceptible
Humfrey-Hewett,Suceptible
Nute,Suceptible
Quellon-Greyjoy,Suceptible
Sawane-Botley,Suceptible
Farlen,Suceptible
Florian-the-Fool,Suceptible
Jonquil,Suceptible
Fogo,Suceptible
Frenya,Suceptible
Holly,Suceptible
Fulk,Suceptible
Galyeon-of-Cuy,Suceptible
Gared,Suceptible
Will-(prologue),Suceptible
Murch,Suceptible
Leonette-Fossoway,Suceptible
Garrett-Paege,Suceptible
Garth-Greyfeather,Suceptible
Hairy-Hal,Suceptible
