Id,Status
Addam-Marbrand,Recovered
Brynden-Tully,Infected
Cersei-Lannister,Infected
Gyles-Rosby,Infected
Jaime-Lannister,Recovered
Jalabhar-Xho,Infected
Joffrey-Baratheon,Recovered
Kevan-Lannister,Recovered
Lyle-Crakehall,Suceptible
Oberyn-Martell,Infected
Tyrion-Lannister,Infected
Tywin-Lannister,Infected
Varys,Recovered
Aegon-Frey-(son-of-Stevron),Suceptible
Catelyn-Stark,Dead
Robb-Stark,Dead
Stevron-Frey,Suceptible
Walder-Frey,Infected
Aegon-I-Targaryen,Suceptible
Daenerys-Targaryen,Infected
Eddard-Stark,Recovered
Harren-Hoare,Dead
Nan,Recovered
Rhaenys-Targaryen,Suceptible
Stannis-Baratheon,Recovered
Torrhen-Stark,Suceptible
Visenya-Targaryen,Suceptible
Aegon-Targaryen-(son-of-Rhaegar),Dead
Elia-Martell,Dead
Franklyn-Flowers,Suceptible
Haldon,Infected
Harry-Strickland,Suceptible
Jon-Connington,Recovered
Lemore,Recovered
Rhaegar-Targaryen,Infected
Rhaenys-Targaryen-(daughter-of-Rhaegar),Suceptible
Rolly-Duckfield,Dead
Viserys-Targaryen,Dead
Yandry,Recovered
Ysilla,Recovered
Aegon-V-Targaryen,Suceptible
Aemon-Targaryen-(Maester-Aemon),Recovered
Aemon-Targaryen-(Dragonknight),Recovered
Alleras,Suceptible
Alliser-Thorne,Infected
Bowen-Marsh,Dead
Chett,Infected
Clydas,Dead
Cotter-Pyke,Dead
Daeron-II-Targaryen,Suceptible
Dareon,Infected
Denys-Mallister,Suceptible
Donal-Noye,Infected
Eddison-Tollett,Suceptible
Gilly,Infected
Grenn,Dead
Hobb,Infected
Janos-Slynt,Recovered
Jeor-Mormont,Recovered
Jon-Snow,Infected
Maekar-I-Targaryen,Suceptible
Mance-Rayder,Recovered
Owen,Recovered
Pypar,Infected
Robert-Baratheon,Recovered
Samwell-Tarly,Infected
Wynton-Stout,Suceptible
Aenys-Frey,Recovered
Arya-Stark,Recovered
Hosteen-Frey,Suceptible
Theon-Greyjoy,Recovered
Wyman-Manderly,Recovered
Aeron-Greyjoy,Infected
Asha-Greyjoy,Recovered
Baelor-Blacktyde,Infected
Balon-Greyjoy,Dead
Dagmer,Infected
Dunstan-Drumm,Recovered
Emmond,Suceptible
Euron-Greyjoy,Infected
Gormond-Goodbrother,Suceptible
Gorold-Goodbrother,Suceptible
Greydon-Goodbrother,Suceptible
Meldred-Merlyn,Infected
Murenmure,Infected
Rus,Suceptible
Victarion-Greyjoy,Infected
Aerys-I-Targaryen,Suceptible
Aerys-II-Targaryen,Dead
Arthur-Dayne,Suceptible
Barristan-Selmy,Infected
Brandon-Stark,Infected
Brienne-of-Tarth,Recovered
Denys-Darklyn,Suceptible
Elbert-Arryn,Suceptible
Gerold-Hightower,Suceptible
Jon-Arryn,Recovered
Owen-Merryweather,Suceptible
Rossart,Suceptible
Aggar,Suceptible
Gariss,Suceptible
Gelmarr,Suceptible
Gynir,Suceptible
Ramsay-Snow,Dead
Aggo,Recovered
Belwas,Infected
Daario-Naharis,Infected
Drogo,Infected
Grey-Worm,Recovered
Jhogo,Recovered
Jorah-Mormont,Dead
Quaro,Recovered
Rakharo,Infected
Alayaya,Recovered
Bronn,Infected
Dancy,Suceptible
Albett,Infected
Halder,Recovered
Rast,Recovered
Alebelly,Infected
Bran-Stark,Dead
Hayhead,Suceptible
Jojen-Reed,Suceptible
Mikken,Dead
Alerie-Hightower,Recovered
Mace-Tyrell,Infected
Margaery-Tyrell,Dead
Alester-Florent,Recovered
Axell-Florent,Recovered
Cortnay-Penrose,Infected
Davos-Seaworth,Recovered
Lamprey,Infected
Renly-Baratheon,Dead
Selyse-Florent,Infected
Alla-Tyrell,Suceptible
Elinor-Tyrell,Suceptible
Megga-Tyrell,Suceptible
Osney-Kettleblack,Suceptible
Sansa-Stark,Infected
Allar-Deem,Recovered
Allard-Seaworth,Suceptible
Marya-Seaworth,Suceptible
Armen,Suceptible
Leo-Tyrell,Infected
Marwyn,Recovered
Mollander,Suceptible
Pate-(novice),Suceptible
Roone,Infected
Qhorin-Halfhand,Infected
Alyn,Suceptible
Harwin,Suceptible
Jory-Cassel,Recovered
Tomard,Dead
Alys-Arryn,Suceptible
Elys-Waynwood,Suceptible
Alys-Karstark,Infected
Melisandre,Dead
Sigorn,Suceptible
Alysane-Mormont,Suceptible
Justin-Massey,Dead
Amabel,Recovered
Harra,Suceptible
Amerei-Frey,Recovered
Lancel-Lannister,Recovered
Amory-Lorch,Recovered
Chiswyck,Dead
Dunsen,Infected
Gendry,Infected
Gregor-Clegane,Recovered
Hot-Pie,Infected
Ilyn-Payne,Recovered
Meryn-Trant,Infected
Polliver,Infected
Rafford,Infected
Roose-Bolton,Recovered
Sandor-Clegane,Recovered
Tickler,Recovered
Vargo-Hoat,Recovered
Yoren,Recovered
Anders-Yronwood,Suceptible
Quentyn-Martell,Recovered
Andrew-Estermont,Recovered
Edric-Storm,Recovered
Gerald-Gower,Suceptible
Andrey-Dalt,Suceptible
Arianne-Martell,Suceptible
Garin-(orphan),Suceptible
Myrcella-Baratheon,Dead
Sylva-Santagar,Suceptible
Tyene-Sand,Suceptible
Anguy,Infected
Beric-Dondarrion,Infected
Greenbeard,Recovered
Husband,Suceptible
Lem,Infected
Sharna,Dead
Tom-of-Sevenstreams,Infected
Anya-Waynwood,Infected
Benedar-Belmore,Suceptible
Gilwood-Hunter,Recovered
Harrold-Hardyng,Recovered
Horton-Redfort,Suceptible
Petyr-Baelish,Infected
Symond-Templeton,Suceptible
Yohn-Royce,Infected
Archibald-Yronwood,Suceptible
Cletus-Yronwood,Dead
Gerris-Drinkwater,Suceptible
Tattered-Prince,Infected
Ardrian-Celtigar,Suceptible
Monford-Velaryon,Suceptible
Areo-Hotah,Recovered
Arys-Oakheart,Suceptible
Balon-Swann,Infected
Caleotte,Suceptible
Doran-Martell,Recovered
Ellaria-Sand,Infected
Obara-Sand,Suceptible
Cedra,Suceptible
Franklyn-Fowler,Suceptible
Gerold-Dayne,Suceptible
Mellei,Suceptible
Morra,Suceptible
Ricasso,Suceptible
