Id,Status
Addam-Marbrand,Infected
Brynden-Tully,Infected
Cersei-Lannister,Infected
Gyles-Rosby,Dead
Jaime-Lannister,Dead
Jalabhar-Xho,Suceptible
Joffrey-Baratheon,Dead
Kevan-Lannister,Recovered
Lyle-Crakehall,Infected
Oberyn-Martell,Recovered
Tyrion-Lannister,Dead
Tywin-Lannister,Recovered
Varys,Recovered
Aegon-Frey-(son-of-Stevron),Infected
Catelyn-Stark,Dead
Robb-Stark,Recovered
Stevron-Frey,Dead
Walder-Frey,Infected
Aegon-I-Targaryen,Recovered
Daenerys-Targaryen,Infected
Eddard-Stark,Infected
Harren-Hoare,Suceptible
Nan,Recovered
Rhaenys-Targaryen,Suceptible
Stannis-Baratheon,Dead
Torrhen-Stark,Suceptible
Visenya-Targaryen,Suceptible
Aegon-Targaryen-(son-of-Rhaegar),Suceptible
Elia-Martell,Infected
Franklyn-Flowers,Suceptible
Haldon,Suceptible
Harry-Strickland,Suceptible
Jon-Connington,Suceptible
Lemore,Suceptible
Rhaegar-Targaryen,Recovered
Rhaenys-Targaryen-(daughter-of-Rhaegar),Suceptible
Rolly-Duckfield,Suceptible
Viserys-Targaryen,Recovered
Yandry,Suceptible
Ysilla,Suceptible
Aegon-V-Targaryen,Suceptible
Aemon-Targaryen-(Maester-Aemon),Infected
Aemon-Targaryen-(Dragonknight),Suceptible
Alleras,Suceptible
Alliser-Thorne,Infected
Bowen-Marsh,Infected
Chett,Infected
Clydas,Suceptible
Cotter-Pyke,Suceptible
Daeron-II-Targaryen,Infected
Dareon,Suceptible
Denys-Mallister,Infected
Donal-Noye,Dead
Eddison-Tollett,Recovered
Gilly,Infected
Grenn,Infected
Hobb,Dead
Janos-Slynt,Recovered
Jeor-Mormont,Recovered
Jon-Snow,Infected
Maekar-I-Targaryen,Suceptible
Mance-Rayder,Dead
Owen,Suceptible
Pypar,Suceptible
Robert-Baratheon,Recovered
Samwell-Tarly,Dead
Wynton-Stout,Suceptible
Aenys-Frey,Recovered
Arya-Stark,Recovered
Hosteen-Frey,Suceptible
Theon-Greyjoy,Infected
Wyman-Manderly,Infected
Aeron-Greyjoy,Infected
Asha-Greyjoy,Recovered
Baelor-Blacktyde,Suceptible
Balon-Greyjoy,Infected
Dagmer,Recovered
Dunstan-Drumm,Suceptible
Emmond,Suceptible
Euron-Greyjoy,Recovered
Gormond-Goodbrother,Suceptible
Gorold-Goodbrother,Suceptible
Greydon-Goodbrother,Suceptible
Meldred-Merlyn,Suceptible
Murenmure,Suceptible
Rus,Suceptible
Victarion-Greyjoy,Infected
Aerys-I-Targaryen,Infected
Aerys-II-Targaryen,Recovered
Arthur-Dayne,Infected
Barristan-Selmy,Infected
Brandon-Stark,Infected
Brienne-of-Tarth,Dead
Denys-Darklyn,Suceptible
Elbert-Arryn,Infected
Gerold-Hightower,Infected
Jon-Arryn,Dead
Owen-Merryweather,Suceptible
Rossart,Suceptible
Aggar,Suceptible
Gariss,Suceptible
Gelmarr,Suceptible
Gynir,Suceptible
Ramsay-Snow,Infected
Aggo,Suceptible
Belwas,Suceptible
Daario-Naharis,Infected
Drogo,Suceptible
Grey-Worm,Infected
Jhogo,Suceptible
Jorah-Mormont,Infected
Quaro,Suceptible
Rakharo,Suceptible
Alayaya,Suceptible
Bronn,Infected
Dancy,Suceptible
Albett,Dead
Halder,Suceptible
Rast,Suceptible
Alebelly,Suceptible
Bran-Stark,Recovered
Hayhead,Suceptible
Jojen-Reed,Recovered
Mikken,Suceptible
Alerie-Hightower,Recovered
Mace-Tyrell,Infected
Margaery-Tyrell,Infected
Alester-Florent,Suceptible
Axell-Florent,Infected
Cortnay-Penrose,Suceptible
Davos-Seaworth,Infected
Lamprey,Suceptible
Renly-Baratheon,Dead
Selyse-Florent,Infected
Alla-Tyrell,Suceptible
Elinor-Tyrell,Suceptible
Megga-Tyrell,Infected
Osney-Kettleblack,Recovered
Sansa-Stark,Infected
Allar-Deem,Suceptible
Allard-Seaworth,Infected
Marya-Seaworth,Suceptible
Armen,Suceptible
Leo-Tyrell,Suceptible
Marwyn,Suceptible
Mollander,Suceptible
Pate-(novice),Suceptible
Roone,Suceptible
Qhorin-Halfhand,Suceptible
Alyn,Recovered
Harwin,Suceptible
Jory-Cassel,Dead
Tomard,Recovered
Alys-Arryn,Suceptible
Elys-Waynwood,Suceptible
Alys-Karstark,Infected
Melisandre,Infected
Sigorn,Infected
Alysane-Mormont,Suceptible
Justin-Massey,Suceptible
Amabel,Suceptible
Harra,Suceptible
Amerei-Frey,Suceptible
Lancel-Lannister,Recovered
Amory-Lorch,Infected
Chiswyck,Recovered
Dunsen,Recovered
Gendry,Dead
Gregor-Clegane,Dead
Hot-Pie,Infected
Ilyn-Payne,Infected
Meryn-Trant,Infected
Polliver,Infected
Rafford,Infected
Roose-Bolton,Recovered
Sandor-Clegane,Infected
Tickler,Dead
Vargo-Hoat,Recovered
Yoren,Recovered
Anders-Yronwood,Suceptible
Quentyn-Martell,Suceptible
Andrew-Estermont,Infected
Edric-Storm,Recovered
Gerald-Gower,Suceptible
Andrey-Dalt,Infected
Arianne-Martell,Recovered
Garin-(orphan),Infected
Myrcella-Baratheon,Infected
Sylva-Santagar,Suceptible
Tyene-Sand,Recovered
Anguy,Infected
Beric-Dondarrion,Infected
Greenbeard,Recovered
Husband,Suceptible
Lem,Suceptible
Sharna,Dead
Tom-of-Sevenstreams,Recovered
Anya-Waynwood,Suceptible
Benedar-Belmore,Suceptible
Gilwood-Hunter,Suceptible
Harrold-Hardyng,Suceptible
Horton-Redfort,Suceptible
Petyr-Baelish,Recovered
Symond-Templeton,Suceptible
Yohn-Royce,Suceptible
Archibald-Yronwood,Suceptible
Cletus-Yronwood,Suceptible
Gerris-Drinkwater,Infected
Tattered-Prince,Suceptible
Ardrian-Celtigar,Suceptible
Monford-Velaryon,Suceptible
Areo-Hotah,Recovered
Arys-Oakheart,Recovered
Balon-Swann,Dead
Caleotte,Infected
Doran-Martell,Recovered
Ellaria-Sand,Suceptible
Obara-Sand,Infected
Cedra,Infected
Franklyn-Fowler,Suceptible
Gerold-Dayne,Infected
Mellei,Suceptible
Morra,Suceptible
Ricasso,Suceptible
Timoth,Suceptible
Arnolf-Karstark,Recovered
Arthor-Karstark,Suceptible
Mors-Umber,Suceptible
Rickard-Karstark,Infected
Aron-Santagar,Suceptible
Arron,Dead
Emrick,Suceptible
Hareth-(Moles-Town),Infected
Satin,Dead
Arson,Infected
Arstan,Infected
Illyrio-Mopatis,Infected
Jhiqui,Suceptible
Kraznys-mo-Nakloz,Suceptible
Mero,Suceptible
Lewyn-Martell,Infected
Smiling-Knight,Suceptible
Arwyn-Oakheart,Recovered
Randyll-Tarly,Infected
Bellegere-Otherys,Suceptible
Benjen-Stark,Recovered
Biter,Recovered
Brea,Recovered
Brusco,Suceptible
Denyo-Terys,Suceptible
Desmond,Suceptible
Dobber,Dead
Elmar-Frey,Recovered
Jaqen-Hghar,Infected
Jeyne-Poole,Infected
Kindly-Man,Suceptible
Koss,Suceptible
Lommy-Greenhands,Recovered
Mad-Huntsman,Suceptible
Meralyn,Suceptible
Mordane,Recovered
Mycah,Infected
Pate-(Old),Suceptible
Praed,Suceptible
Ravella-Swann,Suceptible
Rickon-Stark,Infected
Rodrik-Cassel,Infected
Rorge,Suceptible
Syrio-Forel,Infected
Talea,Suceptible
Ternesio-Terys,Suceptible
Thoros-of-Myr,Recovered
Tommen-Baratheon,Infected
Umma,Suceptible
Vayon-Poole,Suceptible
Waif,Suceptible
Weasel,Recovered
Weese,Dead
Woth,Infected
Yorko-Terys,Suceptible
Clayton-Suggs,Infected
Galbart-Glover,Suceptible
Godry-Farring,Suceptible
Grimtongue,Suceptible
Hagen,Suceptible
Qarl-the-Maid,Suceptible
Red-Oarsman,Suceptible
Rodrik-Harlaw,Suceptible
Rolfe-the-Dwarf,Suceptible
Sybelle-Glover,Suceptible
Torgon-Greyiron,Suceptible
Tristifer-Botley,Suceptible
Tycho-Nestoris,Infected
Wex-Pyke,Suceptible
Ashara-Dayne,Suceptible
Aurane-Waters,Infected
Harys-Swyft,Infected
Loras-Tyrell,Recovered
Orton-Merryweather,Dead
Paxter-Redwyne,Dead
Porridge,Suceptible
Salladhor-Saan,Infected
Shireen-Baratheon,Infected
Azor-Ahai,Suceptible
Bael-the-Bard,Suceptible
Ygritte,Suceptible
Baelor-I-Targaryen,Infected
Ballabar,Suceptible
Frenken,Suceptible
Podrick-Payne,Infected
Balman-Byrch,Infected
Falyse-Stokeworth,Suceptible
Boros-Blount,Dead
Mandon-Moore,Infected
Osmund-Kettleblack,Dead
Bannen,Suceptible
Dywen,Recovered
Barbrey-Dustin,Suceptible
Roger-Ryswell,Suceptible
Ben-Plumm,Infected
Bloodbeard,Suceptible
Galazza-Galare,Suceptible
Grazhar,Suceptible
Groleo,Suceptible
Hizdahr-zo-Loraq,Suceptible
Khrazz,Suceptible
Larraq,Suceptible
Missandei,Infected
Pycelle,Recovered
Reznak-mo-Reznak,Suceptible
Skahaz-mo-Kandaq,Suceptible
Steelskin,Suceptible
Widower,Infected
Xaro-Xhoan-Daxos,Recovered
Barsena,Suceptible
Bartimus,Recovered
Bedwyck,Suceptible
Craster,Infected
Belaquo,Suceptible
Goghor-the-Giant,Suceptible
Irri,Suceptible
Spotted-Cat,Suceptible
Oznak-zo-Pahl,Suceptible
Ben-Bones,Suceptible
Kasporio,Suceptible
Penny,Suceptible
Tybero-Istarion,Suceptible
Benerro,Suceptible
Moqorro,Infected
Benethon-Scales,Suceptible
Narbert-Grandison,Suceptible
Benfred-Tallhart,Suceptible
Helman-Tallhart,Suceptible
Leobald-Tallhart,Suceptible
Stygg,Suceptible
Jaremy-Rykker,Suceptible
Luwin,Dead
Waymar-Royce,Suceptible
Jack-Bulwer,Suceptible
Mariya-Darry,Suceptible
Beth-Cassel,Recovered
Big-Boil,Suceptible
Black-Balaq,Suceptible
Blane,Suceptible
Blue-Bard,Suceptible
Lambert-Turnberry,Suceptible
Qyburn,Dead
Tallad,Infected
Bonifer-Hasty,Suceptible
Tanda-Stokeworth,Suceptible
Cellador,Infected
Othell-Yarwyck,Recovered
Tormund,Suceptible
Wick-Whittlestick,Suceptible
Brynden-Rivers,Suceptible
Chayle,Infected
Cley-Cerwyn,Recovered
Coldhands,Suceptible
Donella-Hornwood,Dead
Hali,Suceptible
Hallis-Mollen,Infected
Hodor,Infected
Howland-Reed,Dead
Hullen,Infected
Jon-Umber-(Greatjon),Recovered
Joseth,Suceptible
Leaf,Suceptible
Meera-Reed,Suceptible
Osha,Suceptible
Poxy-Tym,Suceptible
Reek,Suceptible
Rickard-Stark,Infected
Stafford-Lannister,Suceptible
Stiv,Suceptible
Walder-Frey-(son-of-Jammos),Recovered
Walder-Frey-(son-of-Merrett),Suceptible
Brandon-Norrey,Suceptible
Torghen-Flint,Suceptible
Lyanna-Stark,Infected
Brella,Suceptible
Shae,Suceptible
Brenett,Suceptible
Clarence-Crabb,Suceptible
Cleos-Frey,Dead
Creighton-Longbough,Suceptible
Dick-Crabb,Recovered
Dontos-Hollard,Dead
Edmure-Tully,Recovered
Elder-Brother,Suceptible
Emmon-Cuy,Suceptible
Hyle-Hunt,Suceptible
Illifer,Suceptible
Jeyne-Heddle,Infected
Lysa-Arryn,Recovered
Meribald,Suceptible
Narbert,Suceptible
Pyg,Infected
Robar-Royce,Suceptible
Selwyn-Tarth,Suceptible
Shagwell,Infected
Timeon,Suceptible
Vyman,Recovered
Walton,Recovered
Willow-Heddle,Recovered
Chiggen,Suceptible
Jacelyn-Bywater,Recovered
Lollys-Stokeworth,Suceptible
Marillion,Suceptible
Shagga,Recovered
Timett,Suceptible
Vardis-Egen,Dead
Willis-Wode,Infected
Brus-Buckler,Suceptible
Malegorn,Suceptible
Bryce-Caron,Suceptible
Eldon-Estermont,Suceptible
Guyard-Morrigen,Suceptible
Daven-Lannister,Suceptible
Edwyn-Frey,Infected
Emmon-Frey,Recovered
Hoster-Tully,Recovered
Nestor-Royce,Infected
Ryman-Frey,Infected
Bump,Suceptible
Varamyr,Suceptible
Butterbumps,Infected
Olenna-Redwyne,Infected
Byam-Flint,Suceptible
Caggo,Suceptible
Lucifer-Long,Suceptible
Meris,Suceptible
Camarron,Suceptible
Captain-Myraham,Suceptible
Captain-Myraham-Daughter,Infected
Colemon,Dead
Colen-of-Greenpools,Infected
Dacey-Mormont,Suceptible
Desmond-Grell,Infected
Donnel-Waynwood,Suceptible
Eon-Hunter,Suceptible
Jason-Mallister,Suceptible
Jeyne-Westerling,Recovered
Lothar-Frey,Infected
Maege-Mormont,Recovered
Marq-Piper,Recovered
Masha-Heddle,Infected
Mathis-Rowan,Infected
Moreo-Tumitis,Recovered
Mya-Stone,Suceptible
Mychel-Redfort,Infected
Raynald-Westerling,Suceptible
Robert-Arryn,Suceptible
Robin-Ryger,Dead
Roslin-Frey,Suceptible
Tansy,Dead
Tytos-Blackwood,Suceptible
Utherydes-Wayn,Suceptible
Wendel-Manderly,Recovered
Cayn,Dead
Cedric-Payne,Suceptible
Dorcas,Suceptible
Garlan-Tyrell,Infected
Garth-Tyrell,Suceptible
High-Septon-(Tyrions),Recovered
High-Sparrow,Infected
Jocelyn-Swyft,Recovered
Maegor-I-Targaryen,Recovered
Maggy,Suceptible
Mark-Mullendore,Infected
Melara-Hetherspoon,Recovered
Moelle,Infected
Moon-Boy,Infected
Osfryd-Kettleblack,Infected
Preston-Greenfield,Suceptible
Raynard,Suceptible
Robert-Strong,Suceptible
Scolera,Recovered
Senelle,Infected
Taena-of-Myr,Infected
Unella,Suceptible
Vylarr,Recovered
Willas-Tyrell,Dead
Chataya,Recovered
Chella,Suceptible
Lark,Suceptible
Small-Paul,Infected
Clement-Piper,Suceptible
Karyl-Vance,Suceptible
Cleon,Suceptible
Ghael,Suceptible
Kedry,Suceptible
Clubfoot-Karl,Suceptible
Mully,Suceptible
Cohollo,Suceptible
Haggo,Suceptible
Qotho,Infected
Gretchel,Infected
Maddy,Recovered
Conn,Recovered
Coratt,Suceptible
Corliss-Penny,Suceptible
Dirk,Infected
Thoren-Smallwood,Suceptible
Shadrich,Suceptible
Cressen,Suceptible
Patchface,Suceptible
Pylos,Recovered
Cromm,Suceptible
Cutjack,Suceptible
Kurz,Suceptible
Tarber,Suceptible
Hero,Suceptible
Prendahl-na-Ghezn,Suceptible
Sallor,Suceptible
Daemon-Sand,Infected
Doreah,Suceptible
Eroeh,Suceptible
Ezzara,Suceptible
Lynesse-Hightower,Suceptible
Lysono-Maar,Suceptible
Marselen,Recovered
Mezzara,Suceptible
Miklaz,Suceptible
Mirri-Maz-Duur,Suceptible
Pono,Infected
Pyat-Pree,Infected
Qavo-Nogarys,Suceptible
Qezza,Suceptible
Quaithe,Suceptible
Rhaegel-Targaryen,Suceptible
Symon-Stripeback,Infected
Yurkhaz-zo-Yunzak,Suceptible
Daeron-I-Targaryen,Suceptible
Dalbridge,Suceptible
Ebben,Suceptible
Dalla,Suceptible
Val,Suceptible
Damon-Dance-for-Me,Infected
Grunt,Suceptible
Skinner,Infected
Sour-Alyn,Infected
Danwell-Frey,Suceptible
Jared-Frey,Suceptible
Lanna-(Happy-Port),Suceptible
Daryn-Hornwood,Infected
Torrhen-Karstark,Suceptible
Devan-Seaworth,Suceptible
Garth-(Wolfs-Den),Recovered
Godric-Borrell,Suceptible
Guncer-Sunglass,Infected
Imry-Florent,Suceptible
Khorane-Sathmantes,Recovered
Leona-Woolfield,Suceptible
Marlon-Manderly,Suceptible
Matthos-Seaworth,Infected
Robett-Glover,Infected
Sybell-Spicer,Dead
Denzo-Dhan,Suceptible
Eustace-Brune,Suceptible
Dick-Follard,Suceptible
Dick-Straw,Suceptible
Hugh-Hungerford,Suceptible
Dolf,Suceptible
Mag-Mar-Tun-Doh-Weg,Infected
Lothor-Brune,Suceptible
Nymeria-Sand,Dead
Draqaz,Suceptible
Drennan,Recovered
Squint,Suceptible
Jommo,Suceptible
Ogo,Suceptible
Rhaego,Suceptible
Dryn,Suceptible
Stonesnake,Suceptible
High-Septon-(fat_one),Recovered
Jacks,Suceptible
Joss,Suceptible
Maron-Greyjoy,Infected
Porther,Suceptible
Raymun-Darry,Infected
Tobho-Mott,Infected
Tregar,Suceptible
Varly,Infected
Willam-Dustin,Suceptible
Wyl-(guard),Infected
Wylla,Suceptible
Emmett,Recovered
Watt,Suceptible
Forley-Prester,Suceptible
Walder-Rivers,Recovered
Steffon-Varner,Suceptible
Hop-Robin,Recovered
Genna-Lannister,Suceptible
Errok,Suceptible
Grigg,Suceptible
Styr,Suceptible
Hotho-Harlaw,Suceptible
Humfrey-Hewett,Infected
Nute,Suceptible
Quellon-Greyjoy,Suceptible
Sawane-Botley,Suceptible
Farlen,Suceptible
Florian-the-Fool,Suceptible
Jonquil,Suceptible
Fogo,Suceptible
Frenya,Suceptible
Holly,Suceptible
Fulk,Suceptible
Galyeon-of-Cuy,Suceptible
Gared,Suceptible
Will-(prologue),Suceptible
Murch,Suceptible
Leonette-Fossoway,Suceptible
Garrett-Paege,Suceptible
Garth-Greyfeather,Infected
Hairy-Hal,Dead
Gawen-Westerling,Suceptible
Gendel,Infected
Gorne,Infected
Merrit,Suceptible
Gerold-Grafton,Suceptible
Terrance-Lynderly,Suceptible
Oswell-Whent,Suceptible
Gerrick-Kingsblood,Suceptible
Raymun-Redbeard,Suceptible
Kojja-Mo,Dead
Gormon-Tyrell,Suceptible
