Id,Status
Addam-Marbrand,Recovered
Brynden-Tully,Infected
Cersei-Lannister,Dead
Gyles-Rosby,Infected
Jaime-Lannister,Infected
Jalabhar-Xho,Infected
Joffrey-Baratheon,Infected
Kevan-Lannister,Infected
Lyle-Crakehall,Infected
Oberyn-Martell,Infected
Tyrion-Lannister,Dead
Tywin-Lannister,Recovered
Varys,Infected
Aegon-Frey-(son-of-Stevron),Recovered
Catelyn-Stark,Infected
Robb-Stark,Recovered
Stevron-Frey,Infected
Walder-Frey,Infected
Aegon-I-Targaryen,Infected
Daenerys-Targaryen,Recovered
Eddard-Stark,Dead
Harren-Hoare,Recovered
Nan,Infected
Rhaenys-Targaryen,Infected
Stannis-Baratheon,Recovered
Torrhen-Stark,Infected
Visenya-Targaryen,Infected
Aegon-Targaryen-(son-of-Rhaegar),Recovered
Elia-Martell,Infected
Franklyn-Flowers,Suceptible
Haldon,Infected
Harry-Strickland,Infected
Jon-Connington,Infected
Lemore,Infected
Rhaegar-Targaryen,Infected
Rhaenys-Targaryen-(daughter-of-Rhaegar),Suceptible
Rolly-Duckfield,Dead
Viserys-Targaryen,Infected
Yandry,Infected
Ysilla,Dead
Aegon-V-Targaryen,Recovered
Aemon-Targaryen-(Maester-Aemon),Infected
Aemon-Targaryen-(Dragonknight),Dead
Alleras,Infected
Alliser-Thorne,Recovered
Bowen-Marsh,Infected
Chett,Infected
Clydas,Infected
Cotter-Pyke,Infected
Daeron-II-Targaryen,Recovered
Dareon,Infected
Denys-Mallister,Infected
Donal-Noye,Infected
Eddison-Tollett,Infected
Gilly,Dead
Grenn,Recovered
Hobb,Recovered
Janos-Slynt,Infected
Jeor-Mormont,Infected
Jon-Snow,Infected
Maekar-I-Targaryen,Recovered
Mance-Rayder,Infected
Owen,Recovered
Pypar,Infected
Robert-Baratheon,Infected
Samwell-Tarly,Recovered
Wynton-Stout,Infected
Aenys-Frey,Dead
Arya-Stark,Infected
Hosteen-Frey,Recovered
Theon-Greyjoy,Infected
Wyman-Manderly,Recovered
Aeron-Greyjoy,Recovered
Asha-Greyjoy,Dead
Baelor-Blacktyde,Dead
Balon-Greyjoy,Infected
Dagmer,Infected
Dunstan-Drumm,Recovered
Emmond,Infected
Euron-Greyjoy,Recovered
Gormond-Goodbrother,Suceptible
Gorold-Goodbrother,Recovered
Greydon-Goodbrother,Dead
Meldred-Merlyn,Infected
Murenmure,Suceptible
Rus,Suceptible
Victarion-Greyjoy,Infected
Aerys-I-Targaryen,Infected
Aerys-II-Targaryen,Infected
Arthur-Dayne,Infected
Barristan-Selmy,Recovered
Brandon-Stark,Dead
Brienne-of-Tarth,Infected
Denys-Darklyn,Infected
Elbert-Arryn,Infected
Gerold-Hightower,Recovered
Jon-Arryn,Infected
Owen-Merryweather,Infected
Rossart,Infected
Aggar,Recovered
Gariss,Suceptible
Gelmarr,Suceptible
Gynir,Infected
Ramsay-Snow,Infected
Aggo,Infected
Belwas,Infected
Daario-Naharis,Recovered
Drogo,Recovered
Grey-Worm,Infected
Jhogo,Infected
Jorah-Mormont,Infected
Quaro,Recovered
Rakharo,Recovered
Alayaya,Dead
Bronn,Recovered
Dancy,Infected
Albett,Infected
Halder,Recovered
Rast,Infected
Alebelly,Infected
Bran-Stark,Recovered
Hayhead,Recovered
Jojen-Reed,Recovered
Mikken,Recovered
Alerie-Hightower,Infected
Mace-Tyrell,Infected
Margaery-Tyrell,Dead
Alester-Florent,Recovered
Axell-Florent,Recovered
Cortnay-Penrose,Infected
Davos-Seaworth,Recovered
Lamprey,Infected
Renly-Baratheon,Recovered
Selyse-Florent,Recovered
Alla-Tyrell,Infected
Elinor-Tyrell,Infected
Megga-Tyrell,Infected
Osney-Kettleblack,Infected
Sansa-Stark,Infected
Allar-Deem,Infected
Allard-Seaworth,Infected
Marya-Seaworth,Recovered
Armen,Infected
Leo-Tyrell,Dead
Marwyn,Infected
Mollander,Infected
Pate-(novice),Recovered
Roone,Infected
Qhorin-Halfhand,Infected
Alyn,Infected
Harwin,Recovered
Jory-Cassel,Infected
Tomard,Dead
Alys-Arryn,Recovered
Elys-Waynwood,Suceptible
Alys-Karstark,Infected
Melisandre,Infected
Sigorn,Infected
Alysane-Mormont,Infected
Justin-Massey,Recovered
Amabel,Infected
Harra,Recovered
Amerei-Frey,Recovered
Lancel-Lannister,Infected
Amory-Lorch,Recovered
Chiswyck,Dead
Dunsen,Recovered
Gendry,Recovered
Gregor-Clegane,Infected
Hot-Pie,Infected
Ilyn-Payne,Infected
Meryn-Trant,Recovered
Polliver,Dead
Rafford,Recovered
Roose-Bolton,Infected
Sandor-Clegane,Infected
Tickler,Infected
Vargo-Hoat,Recovered
Yoren,Recovered
Anders-Yronwood,Dead
Quentyn-Martell,Dead
Andrew-Estermont,Infected
Edric-Storm,Dead
Gerald-Gower,Recovered
Andrey-Dalt,Recovered
Arianne-Martell,Infected
Garin-(orphan),Dead
Myrcella-Baratheon,Recovered
Sylva-Santagar,Infected
Tyene-Sand,Infected
Anguy,Infected
Beric-Dondarrion,Recovered
Greenbeard,Recovered
Husband,Infected
Lem,Recovered
Sharna,Infected
Tom-of-Sevenstreams,Recovered
Anya-Waynwood,Infected
Benedar-Belmore,Recovered
Gilwood-Hunter,Infected
Harrold-Hardyng,Infected
Horton-Redfort,Infected
Petyr-Baelish,Infected
Symond-Templeton,Recovered
Yohn-Royce,Infected
Archibald-Yronwood,Infected
Cletus-Yronwood,Infected
Gerris-Drinkwater,Infected
Tattered-Prince,Infected
Ardrian-Celtigar,Infected
Monford-Velaryon,Infected
Areo-Hotah,Recovered
Arys-Oakheart,Infected
Balon-Swann,Dead
Caleotte,Infected
Doran-Martell,Infected
Ellaria-Sand,Recovered
Obara-Sand,Infected
Cedra,Infected
Franklyn-Fowler,Recovered
Gerold-Dayne,Infected
Mellei,Infected
Morra,Infected
Ricasso,Infected
Timoth,Recovered
Arnolf-Karstark,Recovered
Arthor-Karstark,Recovered
Mors-Umber,Infected
Rickard-Karstark,Infected
Aron-Santagar,Infected
Arron,Recovered
Emrick,Infected
Hareth-(Moles-Town),Infected
Satin,Recovered
Arson,Infected
