Id,Status
Addam-Marbrand,Infected
Brynden-Tully,Dead
Cersei-Lannister,Infected
Gyles-Rosby,Dead
Jaime-Lannister,Infected
Jalabhar-Xho,Recovered
Joffrey-Baratheon,Infected
Kevan-Lannister,Dead
Lyle-Crakehall,Infected
Oberyn-Martell,Recovered
Tyrion-Lannister,Infected
Tywin-Lannister,Infected
Varys,Infected
Aegon-Frey-(son-of-Stevron),Infected
Catelyn-Stark,Infected
Robb-Stark,Recovered
Stevron-Frey,Infected
Walder-Frey,Recovered
Aegon-I-Targaryen,Recovered
Daenerys-Targaryen,Recovered
Eddard-Stark,Recovered
Harren-Hoare,Suceptible
Nan,Dead
Rhaenys-Targaryen,Infected
Stannis-Baratheon,Recovered
Torrhen-Stark,Suceptible
Visenya-Targaryen,Infected
Aegon-Targaryen-(son-of-Rhaegar),Dead
Elia-Martell,Recovered
Franklyn-Flowers,Dead
Haldon,Recovered
Harry-Strickland,Infected
Jon-Connington,Recovered
Lemore,Infected
Rhaegar-Targaryen,Recovered
Rhaenys-Targaryen-(daughter-of-Rhaegar),Recovered
Rolly-Duckfield,Infected
Viserys-Targaryen,Infected
Yandry,Dead
Ysilla,Recovered
Aegon-V-Targaryen,Recovered
Aemon-Targaryen-(Maester-Aemon),Infected
Aemon-Targaryen-(Dragonknight),Recovered
Alleras,Infected
Alliser-Thorne,Recovered
Bowen-Marsh,Recovered
Chett,Recovered
Clydas,Infected
Cotter-Pyke,Infected
Daeron-II-Targaryen,Dead
Dareon,Recovered
Denys-Mallister,Recovered
Donal-Noye,Infected
Eddison-Tollett,Recovered
Gilly,Dead
Grenn,Infected
Hobb,Infected
Janos-Slynt,Infected
Jeor-Mormont,Recovered
Jon-Snow,Recovered
Maekar-I-Targaryen,Infected
Mance-Rayder,Dead
Owen,Recovered
Pypar,Infected
Robert-Baratheon,Dead
Samwell-Tarly,Recovered
Wynton-Stout,Suceptible
Aenys-Frey,Infected
Arya-Stark,Recovered
Hosteen-Frey,Infected
Theon-Greyjoy,Infected
Wyman-Manderly,Recovered
Aeron-Greyjoy,Infected
Asha-Greyjoy,Recovered
Baelor-Blacktyde,Recovered
Balon-Greyjoy,Dead
Dagmer,Dead
Dunstan-Drumm,Infected
Emmond,Infected
Euron-Greyjoy,Infected
Gormond-Goodbrother,Infected
Gorold-Goodbrother,Infected
Greydon-Goodbrother,Infected
Meldred-Merlyn,Dead
Murenmure,Infected
Rus,Recovered
Victarion-Greyjoy,Infected
Aerys-I-Targaryen,Infected
Aerys-II-Targaryen,Infected
Arthur-Dayne,Dead
Barristan-Selmy,Infected
Brandon-Stark,Infected
Brienne-of-Tarth,Infected
Denys-Darklyn,Dead
Elbert-Arryn,Suceptible
Gerold-Hightower,Infected
Jon-Arryn,Infected
Owen-Merryweather,Infected
Rossart,Suceptible
Aggar,Infected
Gariss,Infected
Gelmarr,Suceptible
Gynir,Infected
Ramsay-Snow,Recovered
Aggo,Infected
Belwas,Infected
Daario-Naharis,Infected
Drogo,Infected
Grey-Worm,Dead
Jhogo,Recovered
Jorah-Mormont,Recovered
Quaro,Dead
Rakharo,Infected
Alayaya,Infected
Bronn,Recovered
Dancy,Infected
Albett,Recovered
Halder,Infected
Rast,Infected
Alebelly,Recovered
Bran-Stark,Dead
Hayhead,Infected
Jojen-Reed,Infected
Mikken,Recovered
Alerie-Hightower,Infected
Mace-Tyrell,Infected
Margaery-Tyrell,Infected
Alester-Florent,Recovered
Axell-Florent,Dead
Cortnay-Penrose,Dead
Davos-Seaworth,Infected
Lamprey,Infected
Renly-Baratheon,Recovered
Selyse-Florent,Dead
Alla-Tyrell,Infected
Elinor-Tyrell,Recovered
Megga-Tyrell,Infected
Osney-Kettleblack,Infected
Sansa-Stark,Recovered
Allar-Deem,Infected
Allard-Seaworth,Infected
Marya-Seaworth,Suceptible
Armen,Infected
Leo-Tyrell,Infected
Marwyn,Infected
Mollander,Infected
Pate-(novice),Infected
Roone,Recovered
Qhorin-Halfhand,Infected
Alyn,Infected
Harwin,Recovered
Jory-Cassel,Dead
Tomard,Dead
Alys-Arryn,Infected
Elys-Waynwood,Infected
Alys-Karstark,Dead
Melisandre,Recovered
Sigorn,Recovered
Alysane-Mormont,Dead
Justin-Massey,Infected
Amabel,Suceptible
Harra,Suceptible
Amerei-Frey,Recovered
Lancel-Lannister,Infected
Amory-Lorch,Recovered
Chiswyck,Dead
Dunsen,Infected
Gendry,Infected
Gregor-Clegane,Dead
Hot-Pie,Dead
Ilyn-Payne,Recovered
Meryn-Trant,Infected
Polliver,Recovered
Rafford,Infected
Roose-Bolton,Infected
Sandor-Clegane,Dead
Tickler,Dead
Vargo-Hoat,Infected
Yoren,Dead
Anders-Yronwood,Infected
Quentyn-Martell,Infected
Andrew-Estermont,Infected
Edric-Storm,Dead
Gerald-Gower,Recovered
Andrey-Dalt,Infected
Arianne-Martell,Infected
Garin-(orphan),Dead
Myrcella-Baratheon,Infected
Sylva-Santagar,Infected
Tyene-Sand,Recovered
Anguy,Infected
Beric-Dondarrion,Dead
Greenbeard,Dead
Husband,Recovered
Lem,Dead
Sharna,Infected
Tom-of-Sevenstreams,Recovered
Anya-Waynwood,Infected
Benedar-Belmore,Infected
Gilwood-Hunter,Infected
Harrold-Hardyng,Recovered
Horton-Redfort,Recovered
Petyr-Baelish,Dead
Symond-Templeton,Infected
Yohn-Royce,Infected
Archibald-Yronwood,Infected
Cletus-Yronwood,Infected
Gerris-Drinkwater,Dead
Tattered-Prince,Infected
Ardrian-Celtigar,Suceptible
Monford-Velaryon,Infected
Areo-Hotah,Dead
Arys-Oakheart,Recovered
Balon-Swann,Infected
Caleotte,Infected
