Source,Target,Type,Id,Label,Weight
Benin,Togo,Undirected,2984,,1
Benin,Burkina Faso,Undirected,2985,,1
Benin,Cote d'Ivoire,Undirected,2987,,1
Benin,France,Undirected,2988,,1
Benin,Morocco,Undirected,2989,,1
Benin,Nigeria,Undirected,2990,,1
Benin,Equatorial Guinea,Undirected,2991,,1
Benin,Mali,Undirected,2992,,1
Benin,Gabon,Undirected,2993,,1
Benin,Senegal,Undirected,2994,,1
Benin,Cameroon,Undirected,2995,,1
Benin,Ethiopia,Undirected,2996,,1
Benin,Niger,Undirected,2997,,1
Benin,Ghana,Undirected,2998,,1
Benin,Kenya,Undirected,2999,,1
Benin,Congo (Brazzaville),Undirected,3000,,1
Benin,Turkey,Undirected,3001,,1
Burkina Faso,Cote d'Ivoire,Undirected,3003,,1
Burkina Faso,Ghana,Undirected,3004,,1
Burkina Faso,Mali,Undirected,3005,,1
Burkina Faso,Senegal,Undirected,3006,,1
Burkina Faso,Togo,Undirected,3007,,1
Burkina Faso,Niger,Undirected,3008,,1
Burkina Faso,France,Undirected,3010,,1
Burkina Faso,Morocco,Undirected,3011,,1
Burkina Faso,Ethiopia,Undirected,3012,,1
Burkina Faso,Turkey,Undirected,3013,,1
Burkina Faso,Guinea,Undirected,3015,,1
Burkina Faso,Sierra Leone,Undirected,3016,,1
Burkina Faso,Nigeria,Undirected,3017,,1
Ghana,Senegal,Undirected,3018,,1
Ghana,Nigeria,Undirected,3019,,1
Ghana,Liberia,Undirected,3020,,1
Ghana,Morocco,Undirected,3022,,1
Ghana,Togo,Undirected,3023,,1
Ghana,Cote d'Ivoire,Undirected,3026,,1
Ghana,Sierra Leone,Undirected,3027,,1
Ghana,Ethiopia,Undirected,3029,,1
Ghana,Kenya,Undirected,3032,,1
Ghana,South Africa,Undirected,3036,,1
Ghana,Namibia,Undirected,3037,,1
Ghana,Turkey,Undirected,3038,,1
Ghana,France,Undirected,3040,,1
Ghana,Gambia,Undirected,3041,,1
Ghana,Sao Tome and Principe,Undirected,3043,,1
Ghana,Equatorial Guinea,Undirected,3044,,1
Cote d'Ivoire,Mali,Undirected,3045,,1
Cote d'Ivoire,France,Undirected,3047,,1
Cote d'Ivoire,Morocco,Undirected,3048,,1
Cote d'Ivoire,Senegal,Undirected,3049,,1
Cote d'Ivoire,Sierra Leone,Undirected,3050,,1
Cote d'Ivoire,Liberia,Undirected,3051,,1
Cote d'Ivoire,Guinea,Undirected,3052,,1
Cote d'Ivoire,Togo,Undirected,3053,,1
Cote d'Ivoire,Nigeria,Undirected,3054,,1
Cote d'Ivoire,Cameroon,Undirected,3055,,1
Cote d'Ivoire,Gabon,Undirected,3056,,1
Cote d'Ivoire,Kenya,Undirected,3057,,1
Cote d'Ivoire,Turkey,Undirected,3058,,1
Cote d'Ivoire,Equatorial Guinea,Undirected,3060,,1
Cote d'Ivoire,Ethiopia,Undirected,3062,,1
Cote d'Ivoire,Congo (Kinshasa),Undirected,3063,,1
Cote d'Ivoire,Niger,Undirected,3064,,1
Cote d'Ivoire,Congo (Brazzaville),Undirected,3065,,1
Nigeria,Senegal,Undirected,3068,,1
Nigeria,Cameroon,Undirected,3069,,1
Nigeria,Liberia,Undirected,3070,,1
Nigeria,France,Undirected,3071,,1
Nigeria,Morocco,Undirected,3072,,1
Nigeria,Mali,Undirected,3075,,1
Nigeria,Gabon,Undirected,3076,,1
Nigeria,Equatorial Guinea,Undirected,3077,,1
Nigeria,Ethiopia,Undirected,3080,,1
Nigeria,Togo,Undirected,3081,,1
Nigeria,Chad,Undirected,3082,,1
Nigeria,Niger,Undirected,3083,,1
Nigeria,Kenya,Undirected,3086,,1
Nigeria,South Africa,Undirected,3092,,1
Nigeria,Turkey,Undirected,3095,,1
Nigeria,Sierra Leone,Undirected,3096,,1
Nigeria,Rwanda,Undirected,3097,,1
Nigeria,Angola,Undirected,3098,,1
Nigeria,Namibia,Undirected,3099,,1
Nigeria,Cape Verde,Undirected,3100,,1
Nigeria,Uganda,Undirected,3101,,1
Niger,France,Undirected,3104,,1
Niger,Morocco,Undirected,3105,,1
Niger,Ethiopia,Undirected,3106,,1
Niger,Chad,Undirected,3107,,1
Niger,Turkey,Undirected,3108,,1
Niger,Togo,Undirected,3110,,1
Niger,Mali,Undirected,3111,,1
Togo,France,Undirected,3142,,1
Togo,Morocco,Undirected,3143,,1
Togo,Ethiopia,Undirected,3144,,1
Togo,Mali,Undirected,3145,,1
Togo,Guinea,Undirected,3146,,1
Togo,Cameroon,Undirected,3147,,1
Togo,Gabon,Undirected,3149,,1
Togo,Equatorial Guinea,Undirected,3151,,1
Togo,Senegal,Undirected,3153,,1
Togo,Congo (Kinshasa),Undirected,3154,,1
South Africa,France,Undirected,3804,,1
South Africa,Zimbabwe,Undirected,3807,,1
South Africa,Zambia,Undirected,3808,,1
South Africa,Namibia,Undirected,3810,,1
South Africa,Botswana,Undirected,3811,,1
South Africa,Congo (Kinshasa),Undirected,3812,,1
South Africa,Angola,Undirected,3815,,1
South Africa,Ethiopia,Undirected,3816,,1
South Africa,Malawi,Undirected,3817,,1
South Africa,Seychelles,Undirected,3818,,1
South Africa,Tanzania,Undirected,3819,,1
South Africa,Kenya,Undirected,3821,,1
South Africa,Madagascar,Undirected,3824,,1
South Africa,Mozambique,Undirected,3829,,1
South Africa,Congo (Brazzaville),Undirected,3831,,1
South Africa,Senegal,Undirected,3832,,1
South Africa,Uganda,Undirected,3833,,1
South Africa,Rwanda,Undirected,3834,,1
South Africa,Gabon,Undirected,3835,,1
South Africa,Lesotho,Undirected,3836,,1
South Africa,Swaziland,Undirected,3837,,1
South Africa,Turkey,Undirected,3839,,1
South Africa,Reunion,Undirected,3840,,1
Botswana,Zimbabwe,Undirected,3844,,1
Botswana,Zambia,Undirected,3845,,1
Botswana,Kenya,Undirected,3846,,1
Botswana,Namibia,Undirected,3847,,1
Botswana,Ethiopia,Undirected,3848,,1
Congo (Brazzaville),France,Undirected,3849,,1
Congo (Brazzaville),Morocco,Undirected,3850,,1
Congo (Brazzaville),Congo (Kinshasa),Undirected,3851,,1
Congo (Brazzaville),Angola,Undirected,3852,,1
Congo (Brazzaville),Gabon,Undirected,3853,,1
Congo (Brazzaville),Ethiopia,Undirected,3854,,1
Congo (Brazzaville),Cameroon,Undirected,3855,,1
Congo (Brazzaville),Kenya,Undirected,3856,,1
Congo (Brazzaville),Rwanda,Undirected,3857,,1
Congo (Brazzaville),Equatorial Guinea,Undirected,3858,,1
Congo (Brazzaville),Turkey,Undirected,3859,,1
Congo (Kinshasa),Cameroon,Undirected,3860,,1
Congo (Kinshasa),Angola,Undirected,3861,,1
Congo (Kinshasa),France,Undirected,3862,,1
Congo (Kinshasa),Morocco,Undirected,3863,,1
Congo (Kinshasa),Ethiopia,Undirected,3864,,1
Congo (Kinshasa),Zambia,Undirected,3865,,1
Congo (Kinshasa),Gabon,Undirected,3866,,1
Congo (Kinshasa),Kenya,Undirected,3867,,1
Congo (Kinshasa),Turkey,Undirected,3868,,1
Congo (Kinshasa),Burundi,Undirected,3869,,1
Congo (Kinshasa),Uganda,Undirected,3870,,1
Congo (Kinshasa),Chad,Undirected,3871,,1
Congo (Kinshasa),Rwanda,Undirected,3872,,1
Congo (Kinshasa),Malawi,Undirected,3873,,1
Central African Republic,Cameroon,Undirected,3874,,1
Central African Republic,France,Undirected,3875,,1
Central African Republic,Morocco,Undirected,3876,,1
Central African Republic,Chad,Undirected,3877,,1
Central African Republic,Kenya,Undirected,3878,,1
Central African Republic,Uganda,Undirected,3879,,1
Equatorial Guinea,Cameroon,Undirected,3880,,1
Equatorial Guinea,Morocco,Undirected,3881,,1
Equatorial Guinea,Gabon,Undirected,3882,,1
Equatorial Guinea,Ethiopia,Undirected,3883,,1
Equatorial Guinea,Sao Tome and Principe,Undirected,3885,,1
Equatorial Guinea,France,Undirected,3886,,1
Cameroon,Senegal,Undirected,3906,,1
Cameroon,France,Undirected,3907,,1
Cameroon,Morocco,Undirected,3908,,1
Cameroon,Ethiopia,Undirected,3909,,1
Cameroon,Chad,Undirected,3910,,1
Cameroon,Gabon,Undirected,3911,,1
Cameroon,Kenya,Undirected,3912,,1
Cameroon,Turkey,Undirected,3913,,1
Cameroon,Rwanda,Undirected,3914,,1
Cameroon,Mali,Undirected,3915,,1
Zambia,Zimbabwe,Undirected,3917,,1
Zambia,Malawi,Undirected,3918,,1
